"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"EMD","Western Asset Emerging Markets Debt Fund Inc","12.64","$767.83M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/emd",
"GDO","Western Asset Global Corporate Defined Opportunity Fund Inc.","17.25","$257.69M","2009","n/a","n/a","https://old.nasdaq.com/symbol/gdo",
"EHI","Western Asset Global High Income Fund Inc","9.89","$433.85M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ehi",
"HIX","Western Asset High Income Fund II Inc.","6.61","$556.82M","1998","n/a","n/a","https://old.nasdaq.com/symbol/hix",
"HIO","Western Asset High Income Opportunity Fund, Inc.","4.98","$632.59M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hio",
"HYI","Western Asset High Yield Defined Opportunity Fund Inc.","14.66","$332.07M","2010","n/a","n/a","https://old.nasdaq.com/symbol/hyi",
"SBI","Western Asset Intermediate Muni Fund Inc","8.99","$126.6M","1992","n/a","n/a","https://old.nasdaq.com/symbol/sbi",
"IGI","Western Asset Investment Grade Defined Opportunity Trust Inc.","20.75","$224.92M","2009","n/a","n/a","https://old.nasdaq.com/symbol/igi",
"PAI","Western Asset Investment Grade Income Fund Inc.","15.4567","$146.92M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pai",
"MMU","Western Asset Managed Municipals Fund, Inc.","12.32","$534.29M","1992","n/a","n/a","https://old.nasdaq.com/symbol/mmu",
"WMC","Western Asset Mortgage Capital Corporation","2","$121.63M","2012","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/wmc",
"DMO","Western Asset Mortgage Opportunity Fund Inc.","13.52","$148.5M","2010","n/a","n/a","https://old.nasdaq.com/symbol/dmo",
"MTT","Western Asset Municipal Defined Opportunity Trust Inc","20.22","$246.69M","2009","n/a","n/a","https://old.nasdaq.com/symbol/mtt",
"MHF","Western Asset Municipal High Income Fund, Inc.","7.3","$157.92M","1988","n/a","n/a","https://old.nasdaq.com/symbol/mhf",
"MNP","Western Asset Municipal Partners Fund, Inc.","14.2","$138.01M","1993","n/a","n/a","https://old.nasdaq.com/symbol/mnp",
"GFY","Western Asset Variable Rate Strategic Fund Inc.","16.29","$76.05M","2004","n/a","n/a","https://old.nasdaq.com/symbol/gfy",
"WIW","Western Asset/Claymore U.S Treasury Inflation Prot Secs Fd 2","11.55","$706.68M","2004","n/a","n/a","https://old.nasdaq.com/symbol/wiw",
"WIA","Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd","12.35","$360.04M","2003","n/a","n/a","https://old.nasdaq.com/symbol/wia",
"WES","Western Midstream Partners, LP","8.74","$3.64B","2012","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/wes",
"WU","Western Union Company (The)","21.71","$8.92B","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/wu",
"WAB","Westinghouse Air Brake Technologies Corporation","62.1","$11.82B","n/a","Capital Goods","Railroads","https://old.nasdaq.com/symbol/wab",
"WLK","Westlake Chemical Corporation","70.03","$8.94B","2004","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/wlk",
"WLKP","Westlake Chemical Partners LP","18.77","$660.6M","2014","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/wlkp",
"WBK","Westpac Banking Corporation","13.18","$47.57B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/wbk",
"WRK","Westrock Company","40.32","$10.47B","2015","Consumer Durables","Containers/Packaging","https://old.nasdaq.com/symbol/wrk",
"WHG","Westwood Holdings Group Inc","11.1","$93.74M","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/whg",
"WEX","WEX Inc.","143.83","$6.34B","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/wex",
"WY","Weyerhaeuser Company","29.86","$22.28B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/wy",
"WPM","Wheaton Precious Metals Corp.","49.49","$22.22B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/wpm",
"WHR","Whirlpool Corporation","196.83","$12.26B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/whr",
"WTM","White Mountains Insurance Group, Ltd.","954","$2.96B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/wtm",
